@relation auml_eml_1_d

@attribute F4_plsa_topic_1 numeric
@attribute F4_plsa_topic_2 numeric
@attribute F4_plsa_topic_3 numeric
@attribute F4_plsa_topic_4 numeric
@attribute F4_plsa_topic_5 numeric
@attribute F4_plsa_topic_6 numeric
@attribute F4_plsa_topic_7 numeric
@attribute F4_plsa_topic_8 numeric
@attribute F4_plsa_topic_9 numeric
@attribute F4_plsa_topic_10 numeric
@attribute class numeric

@data
0.013889,0.080455,0.025323,0.07926,0.026542,0.012596,0.061146,0.165859,0.038652,0.496279,0
0.044128,0.090987,0.045909,0.093348,0.043892,0.013781,0.055849,0.042582,0.02968,0.539844,0
0.037223,0.065688,0.162651,0.035986,0.026311,0.112528,0.035143,0.053891,0.434826,0.035751,1
0.014602,0.101463,0.039009,0.037681,0.023389,0.03675,0.083948,0.106072,0.025364,0.531722,0
0.009028,0.024978,0.08429,0.044236,0.08215,0.05211,0.64081,0.033348,0.015175,0.013875,0
0.007668,0.043884,0.71611,0.030625,0.038874,0.033605,0.032917,0.020497,0.055687,0.020131,1
0.01433,0.043314,0.08106,0.058415,0.055267,0.053278,0.039278,0.051037,0.0275,0.57652,0
0.073897,0.047305,0.018165,0.031545,0.05977,0.025781,0.075974,0.055807,0.026683,0.585072,0
0.024902,0.222096,0.460025,0.098402,0.035733,0.021963,0.076774,0.025367,0.017895,0.016842,0
0.003816,0.051579,0.277874,0.033104,0.025096,0.027063,0.017607,0.015633,0.530989,0.017239,1
0.031005,0.54009,0.003718,0.113887,0.035153,0.019655,0.042685,0.06454,0.042412,0.106854,0
0.033388,0.45404,0.036847,0.123561,0.039216,0.055017,0.060175,0.034224,0.078296,0.085237,0
0.012143,0.066725,0.50334,0.051663,0.031745,0.024684,0.075012,0.084928,0.029461,0.120299,0
0.044128,0.090987,0.045909,0.093348,0.043892,0.013781,0.055849,0.042582,0.02968,0.539844,0
0.007484,0.035136,0.036356,0.026161,0.242614,0.502494,0.085843,0.030296,0.015555,0.018062,0
0.030314,0.161948,0.062104,0.117876,0.117377,0.073968,0.107006,0.066264,0.11539,0.147753,0
0.038406,0.186539,0.090992,0.049885,0.410805,0.049196,0.037817,0.027698,0.057896,0.050765,0
0.04546,0.021456,0.018378,0.079609,0.101114,0.030483,0.578287,0.024274,0.00816,0.092779,0
0.063553,0.100347,0.172835,0.060906,0.142242,0.080261,0.139338,0.136154,0.052839,0.051525,0
0,0.045111,0.18062,0.048851,0.107132,0.095626,0.225824,0.03283,0.174323,0.089684,0
0.021996,0.156217,0.025401,0.115481,0.031819,0.040797,0.080265,0.069262,0.051853,0.406911,0
0.009664,0.040759,0.071955,0.03886,0.559338,0.194138,0.016106,0.021615,0.0342,0.013365,0
0.032472,0.129101,0.072253,0.151778,0.020241,0.019,0.051438,0.038333,0.035315,0.450068,0
0.031005,0.54009,0.003718,0.113887,0.035153,0.019655,0.042685,0.06454,0.042412,0.106854,0
0.015768,0.074301,0.061794,0.094549,0.014275,0.023351,0.24204,0.066788,0.020641,0.386494,0
0,0.062371,0.217597,0.514565,0.077172,0.015521,0.020306,0.03564,0.045363,0.011466,0
0.00897,0.078648,0.580404,0.054921,0.043555,0.040026,0.038415,0.034374,0.089317,0.031371,1
0.013879,0.056207,0.020189,0.026734,0.02109,0.376543,0.050432,0.076517,0.01263,0.345779,0
0.014028,0.057559,0.081604,0.099519,0.461682,0.075833,0.04422,0.051118,0.099979,0.014457,0
0.053875,0.630791,0.020816,0.032371,0.04785,0.018261,0.10731,0.062268,0.01264,0.013819,0
0.495448,0.025985,0.162954,0.001614,0.082966,0.088358,0.075239,0.041227,0.014862,0.011345,0
0.044989,0.067719,0.101409,0.04238,0.113728,0.232222,0.047607,0.207123,0.097805,0.045018,0
0.007211,0.028363,0.155192,0.049615,0.1107,0.061132,0.516189,0.044482,0.008704,0.018412,0
0.042473,0.125324,0.118175,0.137463,0.0754,0.134899,0.176576,0.064409,0.080242,0.04504,0
0.018868,0.097297,0.074457,0.047486,0.608422,0.049849,0.018616,0.02074,0.042065,0.022199,0
0.013879,0.056207,0.020189,0.026734,0.02109,0.376543,0.050432,0.076517,0.01263,0.345779,0
0.049627,0.05121,0.049188,0.06707,0.206133,0.030637,0.1373,0.025449,0.110771,0.272615,0
0.035224,0.095877,0.091216,0.053452,0.42596,0.112137,0.055152,0.050984,0.046484,0.033514,0
0.059542,0.100954,0.033762,0.037056,0.054055,0.005123,0.170801,0.158185,0.092949,0.287574,0
0.017539,0.14869,0.124312,0.208585,0.033587,0.06316,0.117194,0.094638,0.047696,0.144597,0
0.015346,0.119134,0.033109,0.049689,0.01723,0.012479,0.099625,0.031669,0.156164,0.465555,0
0.016583,0.047513,0.258331,0.03439,0.056909,0.037329,0.020911,0.028724,0.028595,0.470716,1
0.00259,0.074646,0.368929,0.055068,0.045762,0.036037,0.021348,0.117577,0.264174,0.013869,1
0.041909,0.020606,0.110079,0.036046,0.118129,0.086073,0.441762,0.037148,0.011314,0.096934,0
0.067315,0.088023,0.032033,0.033957,0.069866,0.136409,0.051904,0.029555,0.015583,0.475354,0
0.000713,0.011716,0.027228,0.015055,0.049701,0.814392,0.020115,0.019276,0.020174,0.02163,0
0.051981,0.026057,0.021014,0.047677,0.060788,0.039692,0.575533,0.027756,0.009331,0.140172,0
0.838855,0.036824,0,0,0,0,0.0767,0.035213,0.012407,0,0
0.006683,0.101932,0.127396,0.054979,0.0544,0.043814,0.540212,0.023402,0.032326,0.014855,0
0.092319,0.234893,0.082798,0.060252,0.061871,0.003337,0.240065,0.036851,0.118355,0.069259,0
0.293404,0.101588,0.107235,0.074041,0.047463,0.118452,0.048384,0.081539,0.103539,0.024353,0
0.114954,0.090749,0.088585,0.186441,0.110215,0.106433,0.061614,0.138232,0.07029,0.032488,0
0.003114,0.053788,0.433607,0.019756,0.049119,0.024398,0.044631,0.013844,0.299488,0.058256,0
0.038406,0.186539,0.090992,0.049885,0.410805,0.049196,0.037817,0.027698,0.057896,0.050765,0
0.013952,0.037475,0.055929,0.218776,0.016233,0.012574,0.06901,0.046077,0.014707,0.515267,0
0.000943,0.006885,0.0198,0.442068,0.232449,0.008769,0.033447,0.058713,0.058507,0.138419,0
0.015939,0.086557,0.108582,0.196433,0.015069,0.032903,0.021564,0.036127,0.039844,0.446982,0
0,0.003553,0,0.603743,0.158693,0.006921,0.042257,0.079625,0.0753,0.029909,0
0.013394,0.039104,0.035004,0.01889,0.623122,0.164869,0.01891,0.029743,0.023364,0.033599,0
0.043377,0.066666,0.109284,0.065081,0.060439,0.052622,0.036769,0.477913,0.034909,0.05294,0
0.023488,0.385827,0.042588,0.11077,0.061823,0.033195,0.14474,0.040241,0.089505,0.067821,0
0.015737,0.08595,0.03085,0.046181,0.036908,0.012779,0.12434,0.077731,0.020552,0.548972,0
0.000832,0.308632,0.044204,0.195242,0.130606,0.061489,0.096789,0.079459,0.040244,0.042504,0
0.026343,0.156929,0.034583,0.097941,0.013141,0.030734,0.061047,0.043644,0.121063,0.414576,0
0.029713,0.083778,0.120158,0.049575,0.452801,0.097872,0.043112,0.051165,0.044418,0.027408,0
0.062166,0.02607,0.071987,0.038271,0.057667,0.056682,0.468703,0.120861,0.013975,0.08362,0
0.062166,0.02607,0.071987,0.038271,0.057667,0.056682,0.468703,0.120861,0.013975,0.08362,0
0.098034,0.085918,0.047776,0.040738,0.031632,0.007998,0.180569,0.113485,0.022851,0.370998,0
0.010527,0.136173,0.101274,0.075774,0.328121,0.115195,0.115319,0.030982,0.052038,0.034598,0
0.032472,0.129101,0.072253,0.151778,0.020241,0.019,0.051438,0.038333,0.035315,0.450068,0
0.035,0.043812,0.036906,0.054006,0.08646,0.142989,0.442569,0.036852,0.005959,0.115445,0
0.022109,0.066454,0.073355,0.096658,0.057232,0.019807,0.046136,0.038406,0.024147,0.555696,0
0.013713,0.041638,0.085873,0.030732,0.228298,0.059645,0.436174,0.079044,0.01092,0.013963,0
0.003816,0.051579,0.277874,0.033104,0.025096,0.027063,0.017607,0.015633,0.530989,0.017239,1
0.049727,0.093824,0.061113,0.086246,0.044115,0.02127,0.101637,0.056044,0.035741,0.450283,0
0.124024,0.114156,0.013984,0.362913,0.036189,0.012122,0.055855,0.148036,0.111493,0.021229,0
0.033388,0.45404,0.036847,0.123561,0.039216,0.055017,0.060175,0.034224,0.078296,0.085237,0
0.030478,0.145431,0.026605,0.0784,0.024906,0.012427,0.032351,0.040264,0.018697,0.590441,0
0.015346,0.119134,0.033109,0.049689,0.01723,0.012479,0.099625,0.031669,0.156164,0.465555,0
0.028171,0.150016,0.069008,0.118237,0.060196,0.150385,0.063062,0.080409,0.073422,0.207094,0
0.030314,0.161948,0.062104,0.117876,0.117377,0.073968,0.107006,0.066264,0.11539,0.147753,0
0.020437,0.232245,0.062831,0.046582,0.414576,0.039885,0.027833,0.028323,0.058079,0.069207,0
0.020014,0.10218,0.045746,0.047608,0.047482,0.050643,0.049896,0.047196,0.021664,0.56757,0
0.019652,0.062253,0.048584,0.061305,0.022143,0.013622,0.043245,0.043365,0.07257,0.613261,0
0.015768,0.074301,0.061794,0.094549,0.014275,0.023351,0.24204,0.066788,0.020641,0.386494,0
0.012471,0.104807,0.044533,0.037867,0.076522,0.015489,0.043114,0.034343,0.037535,0.593319,0
0.027719,0.13175,0.05784,0.050093,0.064041,0.024962,0.089279,0.084657,0.080074,0.389586,0
0.002961,0.027368,0.079089,0.037643,0.167581,0.437265,0.193147,0.027893,0.014761,0.012293,0
0.031315,0.131728,0.10686,0.056954,0.030442,0.028433,0.073869,0.0459,0.052058,0.44244,0
0.182897,0.044782,0.042251,0.030985,0.056053,0.01173,0.316828,0.060922,0.128347,0.125205,0
0.042473,0.125324,0.118175,0.137463,0.0754,0.134899,0.176576,0.064409,0.080242,0.04504,0
0.021949,0.043098,0.261464,0.091519,0.260165,0.040795,0.074153,0.027001,0.152812,0.027046,1
0.078905,0.275792,0.07523,0.099248,0.145029,0.033075,0.063425,0.131849,0.076182,0.021264,0
0.023668,0.088472,0.075981,0.033853,0.026824,0.017092,0.047312,0.048558,0.020248,0.617992,0
0.053459,0.028364,0.065089,0.027929,0.07118,0.061725,0.474903,0.028545,0.009596,0.179211,0
0.014028,0.057559,0.081604,0.099519,0.461682,0.075833,0.04422,0.051118,0.099979,0.014457,0
0.01355,0.081105,0.030781,0.068191,0.017858,0.045818,0.081441,0.033078,0.030854,0.597324,0
0.004768,0.169345,0.073846,0.056101,0.135263,0.071202,0.229369,0.151059,0.009749,0.099298,0
0.012409,0.026055,0.105455,0.03836,0.216443,0.119398,0.384296,0.048996,0.022681,0.025907,0
0.015122,0.060049,0.03516,0.02716,0.093736,0.035087,0.185502,0.04356,0.066649,0.437977,0
0.495448,0.025985,0.162954,0.001614,0.082966,0.088358,0.075239,0.041227,0.014862,0.011345,0
0.003036,0.01322,0.032933,0.024745,0.132618,0.421171,0.289167,0.031613,0.035704,0.015794,0
0.018547,0.427602,0.057841,0.13953,0.014932,0.033666,0.075117,0.052907,0.074898,0.104959,0
0.003254,0.011328,0.027142,0.051555,0.429862,0.095818,0.029161,0.244999,0.088714,0.018166,0
0.078905,0.275792,0.07523,0.099248,0.145029,0.033075,0.063425,0.131849,0.076182,0.021264,0
0.012471,0.104807,0.044533,0.037867,0.076522,0.015489,0.043114,0.034343,0.037535,0.593319,0
0.027719,0.13175,0.05784,0.050093,0.064041,0.024962,0.089279,0.084657,0.080074,0.389586,0
0.049972,0.033142,0.071186,0.114541,0.088489,0.022947,0.426565,0.092853,0.068696,0.031609,0
0.021609,0.090821,0.096103,0.117381,0.078792,0.02247,0.370493,0.058525,0.113601,0.030204,1
0.02133,0.350137,0.038207,0.105282,0.066513,0.031534,0.155328,0.065761,0.070214,0.095694,0
0.012143,0.066725,0.50334,0.051663,0.031745,0.024684,0.075012,0.084928,0.029461,0.120299,0
0.023488,0.385827,0.042588,0.11077,0.061823,0.033195,0.14474,0.040241,0.089505,0.067821,0
0.013551,0.039709,0.056524,0.041101,0.549438,0.207061,0.01917,0.017937,0.036976,0.018534,0
0.013087,0.245389,0.037983,0.061836,0.094124,0.033268,0.078401,0.03474,0.044948,0.356225,0
0.000832,0.308632,0.044204,0.195242,0.130606,0.061489,0.096789,0.079459,0.040244,0.042504,0
0.040709,0.142744,0.067236,0.055274,0.029935,0.01324,0.053572,0.058239,0.027376,0.511676,0
0,0.097162,0.009741,0.721045,0.055388,0.00382,0.028796,0.050978,0.024034,0.009036,0
0.018868,0.097297,0.074457,0.047486,0.608422,0.049849,0.018616,0.02074,0.042065,0.022199,0
0.019446,0.394898,0.040556,0.116987,0.068053,0.024261,0.128802,0.056673,0.081713,0.06861,0
0.013551,0.039709,0.056524,0.041101,0.549438,0.207061,0.01917,0.017937,0.036976,0.018534,0
0.091844,0.114846,0.069944,0.056438,0.035591,0.040343,0.080654,0.052638,0.077007,0.380696,0
0.006119,0.037032,0.037033,0.03088,0.194159,0.556673,0.070376,0.031963,0.015893,0.019873,0
0.078905,0.275792,0.07523,0.099248,0.145029,0.033075,0.063425,0.131849,0.076182,0.021264,0
0.004768,0.169345,0.073846,0.056101,0.135263,0.071202,0.229369,0.151059,0.009749,0.099298,0
0.020437,0.232245,0.062831,0.046582,0.414576,0.039885,0.027833,0.028323,0.058079,0.069207,0
0.006648,0.106098,0.128278,0.057008,0.092424,0.054775,0.422431,0.0317,0.052427,0.048211,0
0.019446,0.394898,0.040556,0.116987,0.068053,0.024261,0.128802,0.056673,0.081713,0.06861,0
0.023618,0.400215,0.042824,0.111409,0.062166,0.033379,0.130498,0.046602,0.090001,0.059289,0
0.017008,0.050363,0.024668,0.074833,0.083683,0.037743,0.567251,0.043592,0.066208,0.034651,0
0.08038,0.031416,0.012973,0.054727,0.543274,0.035959,0.094236,0.038981,0.06046,0.047594,0
0.018027,0.117504,0.029662,0.051172,0.021416,0.035781,0.061997,0.059043,0.050551,0.554848,0
0.020434,0.140357,0.033623,0.065086,0.033311,0.01449,0.042715,0.084271,0.031188,0.534525,0
0.008341,0.396321,0.341875,0.057187,0.019209,0.039039,0.028678,0.011655,0.072785,0.024909,1
0.124024,0.114156,0.013984,0.362913,0.036189,0.012122,0.055855,0.148036,0.111493,0.021229,0
0.056748,0.163072,0.1864,0.121078,0.041162,0.034322,0.079275,0.072724,0.064855,0.180366,0
0.028171,0.150016,0.069008,0.118237,0.060196,0.150385,0.063062,0.080409,0.073422,0.207094,0
0.021697,0.071345,0.064845,0.098773,0.019706,0.022173,0.152258,0.050051,0.012393,0.486757,0
0.009599,0.032826,0.482458,0.04043,0.096978,0.083391,0.04019,0.0229,0.164471,0.026756,1
0.004055,0.093037,0.090444,0.087663,0.099321,0.089966,0.064854,0.101427,0.33931,0.029924,1
0,0.002822,0,0.000826,0.178473,0.019595,0.361889,0.319244,0.083304,0.033847,0
0.024092,0.268285,0.141445,0.158475,0.03166,0.019096,0.1512,0.05814,0.055754,0.091853,0
0.01053,0.147892,0.282609,0.069387,0.025545,0.068825,0.037962,0.024472,0.27351,0.059267,1
0.02133,0.350137,0.038207,0.105282,0.066513,0.031534,0.155328,0.065761,0.070214,0.095694,0
0.014028,0.057559,0.081604,0.099519,0.461682,0.075833,0.04422,0.051118,0.099979,0.014457,0
0.020434,0.140357,0.033623,0.065086,0.033311,0.01449,0.042715,0.084271,0.031188,0.534525,0
0.0515,0.1977,0.034278,0.20496,0.061505,0.029772,0.149727,0.114012,0.120561,0.035987,0
0.013087,0.245389,0.037983,0.061836,0.094124,0.033268,0.078401,0.03474,0.044948,0.356225,0
0.021697,0.071345,0.064845,0.098773,0.019706,0.022173,0.152258,0.050051,0.012393,0.486757,0
0.010016,0.061757,0.083586,0.10757,0.039524,0.021876,0.124113,0.158335,0.24638,0.146841,0
0.083645,0.078434,0.02453,0.085993,0.093872,0.060115,0.170949,0.133489,0.160955,0.108018,0
0.002771,0.254353,0.133497,0.15049,0.134466,0.054368,0.012142,0.085644,0.112312,0.059957,0
0.018988,0.052563,0.03196,0.069332,0.048096,0.052262,0.053593,0.0356,0.029168,0.608437,0
0.003018,0.012933,0.05223,0.019928,0.318844,0.480437,0.020155,0.03201,0.043988,0.016457,0
0.022109,0.066454,0.073355,0.096658,0.057232,0.019807,0.046136,0.038406,0.024147,0.555696,0
0.003816,0.051579,0.277874,0.033104,0.025096,0.027063,0.017607,0.015633,0.530989,0.017239,1
0.08038,0.031416,0.012973,0.054727,0.543274,0.035959,0.094236,0.038981,0.06046,0.047594,0
0.072012,0.064363,0.000332,0.138633,0.158732,0.021353,0.301837,0.094312,0.064011,0.084414,0
0.024092,0.268285,0.141445,0.158475,0.03166,0.019096,0.1512,0.05814,0.055754,0.091853,0
0.015622,0.054607,0.031041,0.054851,0.035066,0.013907,0.039469,0.035253,0.031113,0.68907,0
0.067315,0.088023,0.032033,0.033957,0.069866,0.136409,0.051904,0.029555,0.015583,0.475354,0
0.072012,0.064363,0.000332,0.138633,0.158732,0.021353,0.301837,0.094312,0.064011,0.084414,0
0.01433,0.043314,0.08106,0.058415,0.055267,0.053278,0.039278,0.051037,0.0275,0.57652,0
0.078905,0.275792,0.07523,0.099248,0.145029,0.033075,0.063425,0.131849,0.076182,0.021264,0
0.023618,0.400215,0.042824,0.111409,0.062166,0.033379,0.130498,0.046602,0.090001,0.059289,0
0.015939,0.086557,0.108582,0.196433,0.015069,0.032903,0.021564,0.036127,0.039844,0.446982,0
0.071697,0.128864,0.026449,0.080401,0.022513,0.010955,0.082538,0.048383,0.022458,0.505742,0
0.015446,0.103523,0.206787,0.05606,0.116697,0.047302,0.059015,0.060177,0.249406,0.085587,1
0.021032,0.12894,0.001522,0.667516,0.018255,0.059547,0.032125,0.022107,0.010026,0.038931,0
0.002771,0.254353,0.133497,0.15049,0.134466,0.054368,0.012142,0.085644,0.112312,0.059957,0
0.071362,0.071587,0.058607,0.0366,0.019925,0.036738,0.061198,0.042905,0.020173,0.580906,0
0.01355,0.081105,0.030781,0.068191,0.017858,0.045818,0.081441,0.033078,0.030854,0.597324,0
0.023668,0.088472,0.075981,0.033853,0.026824,0.017092,0.047312,0.048558,0.020248,0.617992,0
0.035686,0.099231,0.033628,0.062448,0.034701,0.303331,0.039755,0.089237,0.038415,0.26357,0
0,0.045111,0.18062,0.048851,0.107132,0.095626,0.225824,0.03283,0.174323,0.089684,0
0.030751,0.333145,0.048935,0.212593,0.141612,0.004855,0.052712,0.020439,0.112056,0.042901,0
0.012817,0.039232,0.035272,0.01784,0.635318,0.187668,0.013319,0.019721,0.02385,0.014963,0
0.021996,0.156217,0.025401,0.115481,0.031819,0.040797,0.080265,0.069262,0.051853,0.406911,0
0.025751,0.076885,0.070129,0.044773,0.586116,0.037783,0.040878,0.0715,0.03328,0.012906,0
0.030478,0.145431,0.026605,0.0784,0.024906,0.012427,0.032351,0.040264,0.018697,0.590441,0
0.015737,0.08595,0.03085,0.046181,0.036908,0.012779,0.12434,0.077731,0.020552,0.548972,0
0.056748,0.163072,0.1864,0.121078,0.041162,0.034322,0.079275,0.072724,0.064855,0.180366,0
0.022622,0.367186,0.076829,0.055983,0.312384,0.04042,0.042708,0.034138,0.032941,0.014789,0
0.049727,0.093824,0.061113,0.086246,0.044115,0.02127,0.101637,0.056044,0.035741,0.450283,0
0.067196,0.341188,0.006459,0.309246,0.059929,0.015885,0.060146,0.050609,0.036398,0.052944,0
0.053875,0.630791,0.020816,0.032371,0.04785,0.018261,0.10731,0.062268,0.01264,0.013819,0
0.017011,0.049984,0.051897,0.046445,0.093794,0.01429,0.623748,0.047201,0.027529,0.028102,0
0.030751,0.333145,0.048935,0.212593,0.141612,0.004855,0.052712,0.020439,0.112056,0.042901,0
0.003816,0.051579,0.277874,0.033104,0.025096,0.027063,0.017607,0.015633,0.530989,0.017239,1
0,0.003553,0,0.603743,0.158693,0.006921,0.042257,0.079625,0.0753,0.029909,0
0.059542,0.100954,0.033762,0.037056,0.054055,0.005123,0.170801,0.158185,0.092949,0.287574,0
0.024902,0.222096,0.460025,0.098402,0.035733,0.021963,0.076774,0.025367,0.017895,0.016842,0
0.000943,0.006885,0.0198,0.442068,0.232449,0.008769,0.033447,0.058713,0.058507,0.138419,0
0.011574,0.014894,0.026641,0.04976,0.400251,0.045146,0.287458,0.028569,0.071038,0.064671,0
0.019975,0.034293,0.035384,0.025839,0.714991,0.089852,0.017303,0.020524,0.027269,0.01457,0
0,0.284208,0.020502,0.299976,0.002621,0.016081,0.101253,0.179323,0.06176,0.034276,0
0.026461,0.095499,0.059806,0.051948,0.16319,0.358157,0.065283,0.063853,0.076366,0.039438,0
0.036633,0.250777,0.137706,0.139511,0.027611,0.064564,0.083827,0.069816,0.109878,0.079675,0
0.040251,0.027754,0.070644,0.054997,0.22068,0.029128,0.434296,0.065744,0.024253,0.032253,0
0.054809,0.076532,0.067487,0.050366,0.02817,0.017958,0.129926,0.084075,0.032195,0.458482,0
0.015292,0.051132,0.064792,0.04304,0.661466,0.048592,0.031661,0.030595,0.03855,0.014879,0
0.009698,0.086886,0.138238,0.164906,0.189135,0.019002,0.038103,0.042029,0.286232,0.025771,0
0.016558,0.151383,0.027601,0.057221,0.023476,0.014586,0.06257,0.030894,0.03851,0.577201,0
0.01053,0.071948,0.069657,0.067456,0.215988,0.03132,0.377239,0.085544,0.046574,0.023744,0
0.008951,0.336549,0.068886,0.043529,0.060208,0.00562,0.19285,0.11625,0.036294,0.130863,0
0.010382,0.031329,0.158606,0.027942,0.028457,0.576323,0.022906,0.024941,0.054809,0.064304,0
0.026392,0.022605,0.361612,0.043714,0.011964,0.013156,0.039641,0.012796,0.465089,0.003031,1
0.018691,0.179955,0.070677,0.050722,0.027696,0.026509,0.038296,0.041136,0.041319,0.504999,0
0.021952,0.063457,0.027955,0.07157,0.445202,0.076573,0.108326,0.050217,0.046929,0.087818,0
0.026165,0.169375,0.119258,0.160055,0.140765,0.146087,0.077925,0.039761,0.092616,0.027993,0
0.003816,0.051579,0.277874,0.033104,0.025096,0.027063,0.017607,0.015633,0.530989,0.017239,1
0.066734,0.026071,0.087785,0.063407,0.177583,0.028415,0.466475,0.061518,0.007091,0.014921,0
0.01586,0.106737,0.031092,0.033199,0.027738,0.148916,0.033746,0.060427,0.049867,0.49242,0
0.045665,0.048209,0.081603,0.104669,0.080862,0.020969,0.441513,0.084851,0.062775,0.028885,0
0.007479,0.053977,0.11068,0.014028,0.226963,0.422849,0.014833,0.054521,0.072415,0.022255,0
0.011118,0.054063,0.590327,0.064498,0.038099,0.061567,0.026451,0.046256,0.072454,0.035166,1
0.024587,0.183242,0.030044,0.102467,0.023066,0.207866,0.146693,0.026121,0.039299,0.216616,0
0.015292,0.051132,0.064792,0.04304,0.661466,0.048592,0.031661,0.030595,0.03855,0.014879,0
0.036716,0.035866,0.099384,0.066532,0.093904,0.036738,0.44519,0.044638,0.01218,0.128853,0
0.023211,0.10663,0.084099,0.053601,0.031844,0.022454,0.038363,0.048816,0.033491,0.557491,0
0.021315,0.12799,0.077228,0.054682,0.043772,0.020528,0.072896,0.064928,0.029927,0.486735,0
0.008345,0.408758,0.098359,0.150548,0.023854,0.041095,0.140699,0.055819,0.044413,0.02811,0
